nationality,Number of Cases
Iraq,24113
Pakistan,13900
India,12098
Afghanistan,10931
Colombia,7922
Philippines,6685
Peru,5840
El Salvador,5212
United States,5065
Turkey,4636
Israel,4097
Thailand,3804
Nigeria,3759
Northern Ireland,3367
Somalia,3160
Yemen,3123
Spain,3096
France,2918
Sri Lanka,2851
International,2699
Algeria,2664
Egypt,2523
Russia,2323
Chile,2241
Syria,2186
Libya,2139
Great Britain,2131
South Africa,2062
Nicaragua,1960
Guatemala,1893
Ukraine,1652
Bangladesh,1635
Italy,1467
Lebanon,1396
Nepal,1197
Greece,956
Germany,930
West Bank and Gaza Strip,909
Sudan,852
Iran,820
Indonesia,723
Democratic Republic of the Congo,702
Kenya,658
Argentina,646
Burundi,582
Myanmar,560
Mexico,481
Japan,457
Angola,429
Saudi Arabia,416
Mali,386
China,384
Uganda,362
Ireland,355
Mozambique,322
Cameroon,316
Multinational,294
Venezuela,288
Bolivia,283
Serbia-Montenegro,256
Honduras,253
Brazil,247
Cambodia,203
Central African Republic,200
Haiti,200
Soviet Union,199
Ethiopia,192
Bahrain,191
Georgia,189
Ecuador,185
South Sudan,183
Netherlands,153
Canada,151
Rwanda,145
Switzerland,144
Portugal,140
Tajikistan,138
Niger,136
Australia,135
Namibia,131
Sweden,126
Yugoslavia,125
Tunisia,120
Jordan,120
Senegal,116
Paraguay,115
Belgium,113
Panama,113
Bosnia-Herzegovina,107
Macedonia,107
West Germany (FRG),104
Albania,97
Cuba,94
Zimbabwe,93
Malaysia,90
Cyprus,89
Dominican Republic,87
Austria,83
Rhodesia,80
Chad,78
Kuwait,76
South Korea,76
Ivory Coast,73
Puerto Rico,71
Papua New Guinea,71
Poland,68
Sierra Leone,67
Uruguay,62
Bulgaria,61
Taiwan,60
Suriname,58
Tanzania,57
Zambia,53
Burkina Faso,50
Kosovo,48
Hungary,48
Azerbaijan,47
Costa Rica,45
Morocco,45
Togo,44
Corsica,42
Armenia,42
Denmark,39
Vietnam,38
Republic of the Congo,36
Czech Republic,36
Croatia,34
Romania,33
United Arab Emirates,32
Zaire,31
Kyrgyzstan,29
Kazakhstan,28
Liberia,27
Madagascar,25
Guyana,25
Guinea,24
Norway,24
Jamaica,24
Lesotho,23
Ghana,22
Slovak Republic,22
Maldives,21
United Kingdom,21
Malta,20
Iceland,20
Trinidad and Tobago,19
Uzbekistan,19
Asian,19
New Zealand,19
Macau,19
Finland,19
Hong Kong,18
Laos,18
Latvia,18
Djibouti,17
Serbia,17
Eritrea,16
Fiji,16
Guadeloupe,15
Swaziland,14
New Caledonia,14
Luxembourg,13
East Timor,13
Estonia,13
Qatar,13
Lithuania,12
Belarus,12
Vatican City,11
North Korea,10
Mauritania,10
Malawi,10
Moldova,9
Botswana,9
Singapore,9
Bhutan,8
Guinea-Bissau,8
Bahamas,8
Czechoslovakia,8
Benin,8
Comoros,6
Solomon Islands,6
Gabon,6
Slovenia,5
Montenegro,5
Belize,4
Grenada,4
Virgin Islands (U.S.),3
Martinique,3
Bermuda,3
Gambia,3
Dominica,3
Vanuatu,2
North Yemen,2
Barbados,2
French Guiana,2
Oman,2
Equatorial Guinea,2
Brunei,2
Mongolia,2
St. Martin,2
St. Kitts and Nevis,2
Seychelles,2
Turkmenistan,2
Mauritius,2
Sinhalese,2
Tuvalu,1
Western Sahara,1
Saba (Netherlands Antilles),1
Antigua and Barbuda,1
Commonwealth of Independent States,1
Marshall Islands,1
St. Lucia,1
"Man, Isle of",1
People's Republic of the Congo,1
Greenland,1
